Farmer_ID,Farmer_Name,State,District,Crop_Name,Season,Area_Cultivated_Acres,Expected_Yield_Tonnes,Actual_Yield_Tonnes,Market_Price_per_Tonne,Local_Market_Demand_Tonnes,State_Market_Demand_Tonnes,National_Demand_Tonnes,Soil_Type,Water_Usage_Liters_per_Acre,Fertilizer_Usage_kg_per_Acre,Sustainability_Score,Weather_Condition,Predicted_Demand_for_Next_Season_Tonnes,Overproduction_Risk,Date_Recorded
F00639,Divya Naik,Assam,Chirang,Maize,Summer,12.39,31.06,31.22,18062,259.69,12384.05,2732.26,Black,7107.71,116.44,50,Flood,290.4,Low,2025-07-26
F00640,Mahesh Gowda,Assam,Chirang,Maize,Kharif,12.6,52.85,54.39,19247,1133.47,12561.53,12076.74,Alluvial,2761.67,86.09,75,Heavy Rainfall,1128.35,High,2024-11-12
F00641,Mahesh Singh,Assam,Chirang,Rice,Rabi,4.92,15.36,16.61,19445,870.72,11898.64,13101.85,Clay,2633.01,77.79,59,Heavy Rainfall,849.26,High,2025-08-10
F00642,Pooja Das,Assam,Darrang,Mango,Rabi,11.85,217.91,204.03,75283,692.7,12183.1,13479.11,Alluvial,5486.06,90.31,64,Flood,743.52,Medium,2024-11-20
F00643,Vikram Singh,Assam,Darrang,Wheat,Summer,1.7,8.03,7.03,21529,1198.55,11386.53,26658.97,Black,1246.07,35.67,91,Drought,1420.25,Medium,2025-01-16
F00644,Rahul Sharma,Assam,Darrang,Sugarcane,Kharif,9.73,612.67,550.63,3083,486.36,11141.03,8181.42,Red,4881.79,43.54,86,Normal,450.31,High,2024-01-06
F00645,Kiran Nair,Assam,Darrang,Rice,Summer,9.43,31.9,35.02,21898,768.04,11303.94,11370.4,Sandy,4915.66,116.51,54,Heavy Rainfall,797.7,Medium,2025-10-01
F00646,Swati Gowda,Assam,Darrang,Cotton,Rabi,7.05,13.79,14.24,58286,190.54,12397.05,3785.59,Sandy,2004.39,38.98,49,Normal,173.95,High,2025-04-11
F00647,Amit Patil,Assam,Darrang,Mango,Summer,5.09,47.87,40.85,65621,719.4,11674.54,13067.02,Alluvial,1295.85,99.89,99,Normal,786.67,Medium,2025-03-25
F00648,Praveen Joshi,Assam,Darrang,Groundnut,Kharif,13.81,23.51,20.43,41560,741.75,11840.72,12160.63,Laterite,1589.77,105.18,68,Normal,853.94,Low,2025-03-27
F00649,Rajesh Chaudhary,Assam,Darrang,Wheat,Summer,6.63,27.5,27.28,18976,428.63,12205.57,8482.42,Black,3781.04,53.6,55,Normal,474.71,Low,2025-07-19
F00650,Ramesh Sharma,Assam,Darrang,Cotton,Rabi,14.66,22.47,21.56,64057,816.51,10651.45,18429.11,Laterite,1216.23,49.11,51,Normal,919.57,Medium,2024-03-29
F00651,Pooja Joshi,Assam,Dhemaji,Mango,Rabi,4.91,68.34,69.88,71451,892.13,11173.19,16801.85,Sandy,1370.75,85.14,69,Dry,849.82,High,2025-05-22
F00652,Kiran Gowda,Assam,Dhemaji,Mango,Kharif,8.51,142.67,129.49,65365,596.02,12652.42,10678.12,Black,4104.84,63.63,65,Heavy Rainfall,662.17,High,2024-06-02
F00653,Pooja Yadav,Assam,Dhemaji,Wheat,Summer,13.68,43.95,47.93,21128,573.44,12113.81,8422.61,Black,5272.04,78.14,67,Flood,551.9,Low,2025-06-09
F00654,Kiran Kaur,Assam,Dhemaji,Rice,Kharif,3.87,21.64,23.3,18795,205.26,11135.6,3993.4,Black,2726.79,66.48,54,Drought,234.71,High,2024-03-07
F00655,Aarti Kaur,Assam,Dhemaji,Wheat,Kharif,1.32,3.88,3.72,21893,955.43,11332.7,20427.65,Sandy,3194.26,84.29,80,Heavy Rainfall,994.41,Medium,2024-09-23
F00656,Deepak Sharma,Assam,Dhemaji,Mango,Kharif,12.78,182.72,169.3,63116,437.81,12458.67,10113.4,Red,5401.6,57.86,64,Drought,438.82,High,2024-12-05
F00657,Deepak Chaudhary,Assam,Dhemaji,Rice,Summer,6.64,35.59,32.65,23960,459.67,11146.81,9615.31,Clay,6841.37,83.07,55,Normal,521.73,High,2024-02-18
F00658,Deepak Bhatt,Assam,Dhemaji,Wheat,Rabi,8.73,38.73,37.69,20513,890.41,12167.24,17541.94,Red,4531.9,95.19,92,Heavy Rainfall,1003.84,Medium,2024-08-02
F00659,Rajesh Kaur,Assam,Dhemaji,Potato,Summer,2.79,54.33,54.64,11301,1240.68,11847.57,13127.08,Laterite,4809.95,83.36,87,Dry,1215.72,Medium,2024-01-14
F00660,Sunita Gowda,Assam,Dhemaji,Groundnut,Summer,5.09,10.55,9.69,42224,1028.24,10838.7,23285.38,Red,4494.09,82.97,64,Normal,988.25,Low,2024-10-10
F00661,Arun Yadav,Assam,Dhemaji,Banana,Rabi,9.31,303.43,281.78,11045,330.11,10727.55,8101.24,Clay,3379.7,61.12,49,Flood,323.03,High,2025-03-15
F00662,Praveen Nair,Assam,Dhemaji,Maize,Rabi,5.27,23.4,24.41,19287,803.56,11653.32,19369.0,Clay,2364.08,76.73,71,Flood,765.32,Medium,2025-08-06
F00663,Rajesh Yadav,Assam,Dhemaji,Sugarcane,Rabi,14.09,1202.83,1153.52,3859,898.82,12456.94,13153.2,Red,3444.6,100.85,58,Heavy Rainfall,879.11,High,2024-10-03
F00664,Suresh Bhatt,Assam,Dhemaji,Rice,Summer,4.3,25.66,27.34,18504,1369.52,10842.29,26815.86,Red,5287.55,43.82,59,Drought,1422.38,Low,2024-11-30
F00665,Deepak Sharma,Assam,Dhubri,Rice,Kharif,0.87,4.71,4.01,24215,164.09,11422.31,3668.51,Alluvial,3720.2,98.84,79,Dry,188.31,Medium,2024-04-26
F00666,Aarti Das,Assam,Dhubri,Maize,Kharif,3.61,7.85,7.26,17892,540.22,11593.84,6129.15,Sandy,5895.95,104.66,81,Heavy Rainfall,629.86,Low,2024-03-21
F00667,Shalini Chaudhary,Assam,Dhubri,Mango,Summer,8.68,115.27,119.78,58486,409.77,11292.7,5328.77,Alluvial,3428.11,102.47,67,Flood,399.68,Low,2024-06-09
F00668,Vikram Naik,Assam,Dhubri,Wheat,Kharif,0.82,2.46,2.22,18762,1353.36,11020.74,24378.75,Black,6975.36,52.13,78,Flood,1348.18,Medium,2024-03-28
F00669,Amit Gupta,Assam,Dhubri,Mango,Kharif,6.9,113.84,106.25,68731,1460.39,11180.76,17468.59,Sandy,1214.56,69.98,99,Drought,1353.69,Medium,2025-04-06
F00670,Deepak Naik,Assam,Dhubri,Groundnut,Rabi,10.84,17.7,15.52,46847,1476.94,12537.08,23827.37,Sandy,1545.73,37.99,57,Dry,1406.27,High,2024-04-29
F00671,Aarti Sharma,Assam,Dhubri,Cotton,Summer,3.16,3.58,4.09,50419,1286.67,12098.45,23738.61,Clay,2435.49,44.27,55,Normal,1373.17,Medium,2024-11-21
F00672,Arun Bhatt,Assam,Dhubri,Mango,Rabi,4.26,59.66,59.71,67594,977.42,12116.36,16535.8,Black,6917.37,94.38,95,Normal,1057.76,High,2025-06-12
F00673,Deepak Joshi,Assam,Dhubri,Mango,Rabi,5.72,70.56,61.52,70780,463.06,11243.71,8775.99,Sandy,1823.95,58.48,70,Drought,554.87,High,2025-08-07
F00674,Kiran Patil,Assam,Dhubri,Wheat,Summer,9.85,32.37,30.21,21265,761.98,12471.57,14098.78,Laterite,2060.42,36.07,67,Heavy Rainfall,782.27,Low,2024-05-21
F00675,Divya Sharma,Assam,Dibrugarh,Rice,Summer,10.04,31.22,30.37,20246,837.08,10773.22,16489.22,Alluvial,4208.35,79.5,67,Normal,781.24,High,2024-11-07
F00676,Shalini Nair,Assam,Dibrugarh,Rice,Summer,5.32,20.73,19.05,24941,188.84,12810.59,3818.65,Black,6131.71,86.51,56,Heavy Rainfall,193.02,Low,2025-08-14
F00677,Swati Gowda,Assam,Dibrugarh,Mango,Rabi,3.43,40.7,42.71,47517,1084.77,11616.81,19651.09,Laterite,5451.03,71.86,79,Heavy Rainfall,1055.41,High,2024-12-01
F00678,Suresh Kumar,Assam,Dibrugarh,Sugarcane,Kharif,11.36,1125.37,989.8,3180,702.63,11446.91,10301.06,Red,1313.47,90.92,52,Flood,748.85,Medium,2024-04-29
F00679,Suresh Singh,Assam,Dibrugarh,Mango,Rabi,0.77,11.83,10.22,78824,1454.77,11662.93,23558.3,Alluvial,4414.17,49.22,95,Normal,1444.88,Medium,2025-05-13
F00680,Deepak Joshi,Assam,Dibrugarh,Sugarcane,Rabi,6.92,674.13,689.16,4263,283.36,12898.26,2899.71,Black,2005.67,88.83,87,Dry,324.09,Low,2025-08-17
F00681,Ramesh Das,Assam,Dibrugarh,Sugarcane,Rabi,8.06,644.4,590.99,4645,1041.18,11706.58,24279.21,Laterite,4251.87,39.4,92,Dry,1030.51,High,2025-04-26
F00682,Aarti Das,Assam,Dibrugarh,Banana,Kharif,6.04,126.94,135.1,10564,972.19,12509.02,17114.42,Sandy,7604.39,55.14,64,Normal,903.67,High,2025-08-19
F00683,Mahesh Kumar,Assam,Dibrugarh,Maize,Rabi,2.16,8.92,7.63,19960,1053.23,12367.35,21515.57,Clay,4902.18,43.43,76,Dry,1203.97,Medium,2024-09-29
F00684,Shalini Joshi,Assam,Dima Hasao,Sugarcane,Summer,3.15,249.01,239.42,3163,1035.12,12855.07,22578.15,Black,6610.38,100.07,46,Dry,1183.22,High,2024-06-14
F00685,Praveen Verma,Assam,Dima Hasao,Wheat,Kharif,13.41,34.27,32.48,16209,1050.32,12536.89,24092.3,Sandy,7627.44,53.71,51,Dry,1189.99,Low,2024-07-18
F00686,Mahesh Das,Assam,Dima Hasao,Potato,Rabi,0.75,7.81,6.72,8136,1131.55,10972.93,27419.6,Laterite,2565.48,64.17,61,Dry,1068.01,Medium,2024-10-14
F00687,Shalini Das,Assam,Dima Hasao,Sugarcane,Summer,9.83,965.47,1088.12,4339,988.83,12469.72,10510.62,Clay,3187.71,88.26,50,Dry,1127.3,High,2025-08-14
F00688,Deepak Kaur,Assam,Dima Hasao,Sugarcane,Kharif,12.26,763.54,840.36,4430,1243.5,12126.44,23375.2,Red,4993.55,77.7,71,Drought,1475.45,Medium,2024-01-12
F00689,Sunita Gowda,Assam,Dima Hasao,Mango,Summer,12.73,215.41,238.4,56884,118.03,11955.13,2275.95,Red,6770.29,61.46,87,Drought,140.75,High,2024-12-06
F00690,Rajesh Kaur,Assam,Dima Hasao,Maize,Summer,12.46,43.66,37.19,19864,234.37,10960.72,2743.87,Laterite,2293.81,93.23,57,Drought,257.41,High,2025-09-09
F00691,Praveen Naik,Assam,Dima Hasao,Mango,Kharif,6.42,58.98,65.66,51730,515.75,10880.69,11234.78,Black,3399.15,31.32,72,Drought,571.34,High,2024-05-26
F00692,Kiran Yadav,Assam,Goalpara,Mango,Kharif,12.29,101.86,104.53,70353,840.97,12681.64,11773.86,Clay,6724.97,38.0,80,Drought,827.2,Low,2024-10-10
F00693,Vikram Reddy,Assam,Goalpara,Banana,Summer,8.04,276.72,246.9,10405,863.23,10689.03,13790.12,Alluvial,7980.99,86.59,91,Flood,1017.88,Medium,2024-01-23
F00694,Aarti Yadav,Assam,Goalpara,Rice,Kharif,14.06,82.37,84.66,20161,357.34,12171.83,4148.84,Clay,7306.82,48.58,81,Flood,353.15,Medium,2024-11-03
F00695,Ramesh Yadav,Assam,Goalpara,Sugarcane,Kharif,10.27,959.88,1025.8,3413,844.42,12958.26,18692.45,Alluvial,3672.39,94.15,59,Heavy Rainfall,822.05,High,2025-07-10
F00696,Praveen Joshi,Assam,Goalpara,Maize,Rabi,10.91,25.58,25.38,18734,573.48,10865.77,9497.5,Sandy,4641.24,57.95,63,Drought,551.16,Medium,2024-01-18
F00697,Pooja Bhatt,Assam,Goalpara,Sugarcane,Kharif,11.47,832.35,722.22,4781,214.91,11538.94,4896.9,Alluvial,5643.29,109.11,86,Flood,241.47,High,2025-01-13
F00698,Rahul Yadav,Assam,Goalpara,Rice,Summer,5.27,30.98,30.16,20935,932.23,12862.0,21630.0,Sandy,5230.82,79.29,62,Drought,1083.06,Low,2025-08-18
F00699,Mahesh Kaur,Assam,Goalpara,Potato,Rabi,14.57,360.11,405.46,8249,1421.87,11551.84,28935.66,Red,3282.99,105.35,93,Normal,1442.6,Medium,2024-04-12
F00700,Mahesh Yadav,Assam,Goalpara,Rice,Kharif,4.31,23.0,26.44,18922,409.52,12599.76,6929.92,Clay,6530.08,112.92,64,Heavy Rainfall,401.99,Medium,2024-06-05
F00701,Aarti Khan,Assam,Goalpara,Mango,Kharif,5.45,89.24,99.35,50120,352.24,12706.36,5803.97,Laterite,3259.7,68.79,85,Flood,373.22,Low,2024-09-14
F00702,Sunita Patil,Assam,Goalpara,Sugarcane,Summer,13.19,1101.77,1092.45,4455,816.88,12345.04,19031.7,Red,4354.45,37.44,60,Heavy Rainfall,787.24,High,2025-09-22
F00703,Naveen Bhatt,Assam,Goalpara,Wheat,Rabi,9.7,36.54,41.01,19625,1457.62,11611.06,26180.82,Laterite,7101.18,84.66,92,Heavy Rainfall,1727.39,High,2025-03-24
F00704,Pooja Bhatt,Assam,Goalpara,Sugarcane,Kharif,4.65,349.28,332.4,3647,226.67,12569.35,2903.35,Clay,4680.58,33.1,45,Normal,205.59,High,2025-03-06
F00705,Mahesh Das,Assam,Goalpara,Mango,Rabi,14.74,191.28,216.55,66803,1063.25,12424.18,15487.38,Clay,4208.18,45.54,67,Heavy Rainfall,1065.47,High,2025-02-28
F00706,Sunita Gowda,Assam,Golaghat,Wheat,Kharif,4.45,15.93,17.91,18153,1062.53,11150.29,19676.18,Laterite,4158.36,50.28,62,Heavy Rainfall,1008.46,Medium,2024-06-13
F00707,Shalini Gupta,Assam,Golaghat,Mango,Rabi,11.95,96.54,108.55,49259,230.28,12750.25,2625.71,Alluvial,4765.21,40.56,93,Drought,258.19,Medium,2025-03-09
F00708,Kiran Singh,Assam,Golaghat,Mango,Summer,5.39,93.49,99.25,63271,511.94,12987.17,10232.85,Clay,2565.97,39.6,83,Dry,568.19,Medium,2024-08-06
F00709,Ramesh Joshi,Assam,Golaghat,Sugarcane,Kharif,14.21,1301.61,1394.76,4309,571.72,11294.41,7056.38,Sandy,1342.7,54.56,63,Drought,679.65,High,2025-08-31
F00710,Rajesh Yadav,Assam,Golaghat,Groundnut,Kharif,12.61,18.04,18.47,47534,1079.03,11019.57,12611.84,Red,1710.54,110.01,66,Flood,1265.12,High,2025-01-11
F00711,Sunita Kumar,Assam,Golaghat,Wheat,Rabi,7.34,19.42,21.39,18658,584.13,12113.43,7962.69,Clay,4950.49,106.41,62,Drought,533.36,High,2025-02-23
F00712,Swati Patil,Assam,Golaghat,Maize,Rabi,11.31,28.38,32.08,18388,1484.61,12165.75,29209.39,Red,3544.63,58.35,62,Dry,1621.47,Low,2025-02-11
F00713,Sunita Kaur,Assam,Golaghat,Mango,Summer,1.21,17.3,17.01,74471,1364.02,12359.81,31624.21,Sandy,7616.31,112.08,77,Dry,1296.49,High,2024-03-16
F00714,Aarti Chaudhary,Assam,Golaghat,Wheat,Summer,13.69,53.59,58.17,19814,928.76,10934.17,18274.21,Red,6514.65,31.25,62,Drought,1030.2,High,2024-05-01
F00715,Deepak Yadav,Assam,Golaghat,Rice,Summer,4.86,16.15,15.16,21970,596.94,12413.89,6832.85,Sandy,6648.92,64.92,89,Dry,674.22,Low,2024-09-29
F00716,Kiran Yadav,Assam,Hailakandi,Rice,Summer,11.16,55.64,57.13,20846,232.29,12104.01,2370.44,Alluvial,2798.34,115.84,88,Drought,224.24,High,2025-04-09
F00717,Divya Chaudhary,Assam,Hailakandi,Wheat,Rabi,7.37,32.07,35.15,17558,543.73,12373.7,9003.32,Laterite,4444.54,114.45,65,Heavy Rainfall,649.04,Medium,2024-06-23
F00718,Amit Reddy,Assam,Hailakandi,Mango,Rabi,6.01,55.42,60.59,67494,1348.29,12974.5,21560.67,Black,2138.42,105.45,78,Drought,1459.62,Low,2025-03-14
F00719,Rajesh Joshi,Assam,Hailakandi,Banana,Summer,2.01,69.45,75.42,13106,206.66,12459.05,4486.31,Clay,2463.58,65.7,50,Dry,239.9,Medium,2024-02-28
F00720,Divya Naik,Assam,Hailakandi,Potato,Summer,7.5,137.54,147.74,8269,817.34,10916.58,11431.83,Red,5256.39,41.55,82,Drought,762.53,High,2025-05-14
F00721,Naveen Patil,Assam,Hailakandi,Rice,Kharif,4.94,18.49,20.93,24753,1445.29,12875.51,31262.09,Clay,5470.58,101.85,69,Normal,1412.85,Low,2024-05-28
F00722,Suresh Naik,Assam,Hailakandi,Mango,Summer,10.58,103.68,90.92,61273,1281.21,10907.99,12823.17,Black,5571.17,53.09,96,Heavy Rainfall,1232.05,Medium,2025-08-07
F00723,Mahesh Nair,Assam,Hailakandi,Rice,Rabi,3.09,14.98,12.85,23419,1370.89,10861.31,20732.82,Alluvial,1108.37,82.72,73,Drought,1429.64,Low,2025-06-23
F00724,Kiran Chaudhary,Assam,Hailakandi,Cotton,Rabi,8.45,10.34,8.8,57767,995.94,11767.46,22620.2,Black,6042.15,47.75,69,Normal,908.6,High,2024-08-23
F00725,Divya Sharma,Assam,Hailakandi,Mango,Rabi,3.67,64.3,63.89,67813,729.23,11385.31,17425.02,Clay,1805.35,107.05,61,Heavy Rainfall,838.91,Medium,2024-05-18
F00726,Deepak Sharma,Assam,Hojai,Mango,Rabi,13.29,256.8,259.02,59017,155.4,12636.22,2470.14,Sandy,3143.44,101.15,73,Heavy Rainfall,169.48,Medium,2024-04-08
F00727,Shalini Reddy,Assam,Hojai,Rice,Summer,5.18,27.93,25.39,23422,1494.61,12451.9,30766.54,Sandy,3255.32,84.71,66,Heavy Rainfall,1671.94,High,2024-08-25
F00728,Amit Nair,Assam,Hojai,Sugarcane,Kharif,4.04,276.87,317.42,3978,1121.8,12142.84,25610.23,Alluvial,4202.65,115.47,82,Normal,1089.33,High,2025-09-28
F00729,Naveen Das,Assam,Hojai,Cotton,Summer,3.39,7.66,7.04,52139,1429.42,10791.23,31793.74,Black,5120.14,66.33,90,Heavy Rainfall,1303.34,Low,2025-01-05
F00730,Arun Khan,Assam,Hojai,Mango,Summer,9.5,100.79,89.91,70033,215.01,11902.52,2889.08,Red,5136.36,110.95,69,Drought,208.69,Medium,2025-08-12
F00731,Deepak Gupta,Assam,Hojai,Mango,Rabi,2.78,23.94,21.68,58752,278.45,12067.4,3206.59,Clay,3364.46,118.79,61,Normal,314.69,High,2024-11-22
F00732,Praveen Bhatt,Assam,Hojai,Mango,Rabi,10.87,133.33,131.84,63412,609.94,12112.01,15219.84,Sandy,6338.77,97.04,98,Dry,581.03,High,2024-01-25
F00733,Arun Khan,Assam,Hojai,Rice,Summer,12.79,63.35,65.48,22423,208.91,10949.02,2552.93,Alluvial,3383.89,74.35,88,Drought,195.89,High,2025-04-07
F00734,Rahul Joshi,Assam,Hojai,Mango,Summer,5.87,107.73,115.61,54209,196.67,10897.04,4581.48,Red,4326.5,115.23,88,Flood,235.78,High,2025-03-19
F00735,Shalini Das,Assam,Hojai,Wheat,Rabi,2.71,6.86,7.21,18317,1380.87,12012.69,31950.54,Alluvial,2969.34,60.5,71,Flood,1339.03,High,2024-03-02
F00736,Ramesh Kumar,Assam,Jorhat,Mango,Rabi,1.19,20.03,17.16,46875,1474.25,11058.54,16219.1,Laterite,7267.55,70.65,95,Drought,1468.73,Low,2024-06-22
F00737,Pooja Sharma,Assam,Jorhat,Mango,Kharif,12.97,247.44,276.39,46385,280.95,11306.37,5152.43,Red,1792.63,103.58,80,Heavy Rainfall,263.25,Medium,2024-06-02
F00738,Amit Bhatt,Assam,Jorhat,Mango,Rabi,14.22,128.07,131.26,49225,997.56,12790.07,21690.03,Laterite,6847.36,90.25,68,Heavy Rainfall,989.95,Medium,2024-08-22
F00739,Divya Gupta,Assam,Jorhat,Rice,Summer,7.25,25.79,29.28,18699,230.8,11642.26,3327.31,Clay,1965.97,46.94,71,Normal,228.84,Medium,2025-02-01
F00740,Amit Verma,Assam,Jorhat,Groundnut,Summer,12.71,22.59,19.58,41285,1075.05,12513.05,12957.03,Black,3636.3,105.72,68,Drought,1212.22,Medium,2024-07-07
F00741,Rajesh Das,Assam,Jorhat,Mango,Kharif,4.32,86.27,80.21,61549,305.18,12146.15,6080.54,Alluvial,1696.95,44.32,88,Heavy Rainfall,275.89,Low,2025-03-30
F00742,Amit Kumar,Assam,Jorhat,Banana,Summer,8.66,214.05,238.86,10272,111.94,12444.1,2313.02,Red,3182.43,77.31,55,Heavy Rainfall,105.4,Medium,2024-04-14
F00743,Aarti Das,Assam,Kamrup Metropolitan,Mango,Kharif,1.44,27.42,23.68,61066,804.94,11508.35,10791.32,Laterite,6753.9,85.53,80,Drought,824.52,Low,2024-01-01
F00744,Vikram Gowda,Assam,Kamrup Metropolitan,Maize,Kharif,6.43,25.04,23.6,15614,746.13,12140.92,16708.8,Sandy,6828.86,78.49,72,Heavy Rainfall,734.07,Medium,2025-02-27
F00745,Aarti Chaudhary,Assam,Kamrup Metropolitan,Maize,Rabi,4.3,17.31,15.33,19509,410.46,12346.85,7719.59,Clay,3659.46,53.53,72,Heavy Rainfall,458.61,Medium,2025-08-31
F00746,Aarti Gowda,Assam,Kamrup Metropolitan,Banana,Summer,8.91,238.14,250.98,10059,496.75,10671.69,9232.63,Red,1259.54,108.23,55,Normal,454.83,High,2025-07-28
F00747,Rahul Kaur,Assam,Kamrup Metropolitan,Sugarcane,Kharif,12.18,1073.22,948.96,3089,402.57,12322.34,6613.39,Alluvial,4446.19,48.37,45,Dry,432.13,Low,2025-07-11
F00748,Rahul Khan,Assam,Kamrup Metropolitan,Wheat,Summer,1.31,5.76,4.9,16427,661.66,11206.58,11948.34,Alluvial,3958.99,109.73,94,Drought,645.21,Low,2024-06-05
F00749,Vikram Kumar,Assam,Kamrup Metropolitan,Mango,Kharif,8.2,150.07,130.4,76198,742.44,12009.7,10055.55,Laterite,1628.33,77.14,91,Drought,755.06,Medium,2025-01-26
F00750,Pooja Kumar,Assam,Kamrup,Mango,Summer,2.42,42.75,42.37,67019,200.4,12752.61,4958.69,Sandy,1829.18,59.46,85,Flood,225.59,Low,2024-11-27
F00751,Swati Kumar,Assam,Kamrup,Rice,Kharif,13.49,64.01,56.16,20357,134.58,12627.44,2774.79,Black,7055.11,58.63,69,Heavy Rainfall,159.23,High,2024-11-15
F00752,Pooja Bhatt,Assam,Kamrup,Mango,Summer,4.48,49.0,45.45,62454,929.81,12684.56,12849.17,Alluvial,6785.04,35.92,73,Flood,1007.22,Medium,2024-09-27
F00753,Suresh Kaur,Assam,Kamrup,Rice,Kharif,3.74,12.63,12.48,18576,1345.16,11906.03,14735.86,Sandy,1568.85,98.99,54,Flood,1280.07,High,2025-06-13
F00754,Mahesh Bhatt,Assam,Kamrup,Mango,Rabi,4.14,60.44,55.53,62162,808.16,10907.99,15212.79,Black,4568.25,79.81,75,Flood,843.05,Low,2024-12-21
F00755,Amit Joshi,Assam,Kamrup,Mango,Rabi,10.53,90.13,90.13,64353,1043.03,10655.81,21202.87,Alluvial,6053.75,49.47,76,Drought,1020.24,Low,2025-02-02
F00756,Sunita Joshi,Assam,Kamrup,Rice,Kharif,10.11,44.61,49.57,21881,1319.39,11226.39,27441.09,Alluvial,6002.65,85.14,51,Drought,1413.19,Medium,2024-01-16
F00757,Aarti Patil,Assam,Kamrup,Mango,Kharif,9.93,113.44,120.14,61942,1210.76,12475.21,29898.16,Sandy,5067.12,33.82,63,Heavy Rainfall,1367.66,Medium,2024-09-22
F00758,Aarti Yadav,Assam,Kamrup,Rice,Kharif,5.12,22.51,22.41,18597,644.25,11127.65,10680.17,Clay,6725.31,63.68,53,Heavy Rainfall,768.14,Medium,2025-07-03
F00759,Arun Joshi,Assam,Kamrup,Mango,Rabi,14.84,247.95,237.71,52399,230.38,12620.46,3185.16,Alluvial,7274.68,73.64,87,Heavy Rainfall,241.31,Low,2024-04-13
F00760,Rahul Gowda,Assam,Kamrup,Banana,Rabi,1.2,40.91,42.89,14315,697.01,11076.74,13882.72,Clay,6585.12,32.64,50,Flood,792.42,Medium,2025-06-04
F00761,Pooja Gupta,Assam,Kamrup,Sugarcane,Rabi,13.31,1271.09,1239.51,3281,348.22,12452.8,4488.55,Laterite,3375.16,39.02,95,Dry,351.89,Medium,2024-07-05
F00762,Suresh Gowda,Assam,Kamrup,Mango,Summer,6.15,52.19,59.35,74571,1309.92,11704.24,28961.89,Clay,5187.81,85.7,94,Heavy Rainfall,1263.49,High,2025-03-01
F00763,Rajesh Kaur,Assam,Kamrup,Wheat,Rabi,2.37,6.39,5.77,19776,101.62,12007.27,1865.29,Laterite,3703.58,87.26,85,Drought,110.22,High,2024-04-16
F00764,Aarti Naik,Assam,Karbi Anglong,Mango,Summer,14.54,124.57,118.18,52265,351.93,10948.32,6567.14,Clay,6351.54,41.08,72,Flood,346.73,Medium,2025-02-05
F00765,Suresh Bhatt,Assam,Karbi Anglong,Rice,Rabi,9.73,55.37,51.26,24519,500.58,10931.78,12257.85,Laterite,7011.98,117.33,71,Dry,594.17,Low,2025-08-13
F00766,Sunita Yadav,Assam,Karbi Anglong,Rice,Kharif,12.86,76.53,82.33,19256,357.39,10941.8,4824.66,Sandy,1494.81,59.58,50,Drought,381.41,Low,2024-06-30
F00767,Suresh Khan,Assam,Karbi Anglong,Wheat,Summer,5.04,24.55,22.64,17026,138.43,10792.24,1827.07,Clay,4379.03,33.62,94,Dry,163.59,Low,2024-10-14
F00768,Divya Nair,Assam,Karbi Anglong,Sugarcane,Rabi,6.16,500.93,527.77,4420,533.46,11295.7,10394.19,Sandy,1833.52,78.17,78,Drought,611.92,High,2024-04-24
F00769,Rajesh Patil,Assam,Karbi Anglong,Banana,Summer,8.28,186.85,177.3,14172,962.94,12847.37,17986.32,Laterite,5347.07,72.2,78,Normal,957.39,High,2025-07-26
F00770,Mahesh Khan,Assam,Karbi Anglong,Mango,Summer,12.87,247.96,251.45,67438,599.75,12274.56,9529.61,Laterite,2583.06,83.16,82,Drought,652.45,High,2025-02-26
F00771,Amit Gupta,Assam,Karbi Anglong,Potato,Rabi,14.6,323.84,302.33,8920,1322.86,11457.91,32659.14,Black,2202.0,36.8,63,Heavy Rainfall,1576.04,High,2025-08-21
F00772,Swati Gupta,Assam,Karbi Anglong,Sugarcane,Kharif,1.57,105.78,93.96,3324,468.91,11761.36,8479.32,Clay,4859.82,66.98,87,Flood,542.15,Low,2025-01-18
F00773,Arun Bhatt,Assam,Karbi Anglong,Rice,Rabi,6.22,28.3,29.67,20462,1040.8,12161.43,17160.63,Black,2240.84,81.51,63,Flood,981.92,High,2025-01-16
F00774,Pooja Khan,Assam,Karbi Anglong,Mango,Summer,5.04,58.07,55.28,61997,1031.46,12471.16,16636.97,Clay,2963.47,69.9,68,Drought,1175.23,Low,2025-03-17
F00775,Arun Das,Assam,Karbi Anglong,Banana,Summer,8.51,218.56,198.57,13733,1361.47,10797.64,29589.43,Clay,4636.44,41.82,80,Flood,1607.0,Low,2025-04-24
F00776,Sunita Nair,Assam,Karbi Anglong,Mango,Rabi,9.52,76.3,80.49,49520,740.26,12202.81,14367.94,Clay,1872.43,83.07,63,Dry,718.01,Medium,2024-05-17
F00777,Kiran Gowda,Assam,Karimganj,Mango,Kharif,4.58,65.08,73.63,69904,717.29,12091.34,14582.63,Red,3847.06,68.29,85,Drought,803.52,High,2024-05-07
F00778,Kiran Reddy,Assam,Karimganj,Mango,Summer,5.09,57.25,63.18,46953,1170.18,12934.96,20869.47,Clay,5371.01,89.0,83,Heavy Rainfall,1238.31,Low,2024-09-18
F00779,Ramesh Kumar,Assam,Karimganj,Wheat,Summer,2.98,8.0,7.32,19801,955.36,12641.45,20651.9,Laterite,7537.62,100.44,66,Flood,1059.49,High,2025-04-11
